Card Name,Bayes Smoothed Winrate %,Raw Post-Acquisition Winrate %,Combined Post-Acquisition Record,Total Post Matches Tracked,Pools Opened In
Spirit Water Revival (Copy 1),43.55,16.67,4-20,24,3
Groundchuck & Dirtbag (Copy 1),43.54,29.79,14-33,47,5
Metamorphic Blast (Copy 1),43.51,31.48,17-37,54,7
Borough Backup (Copy 3),43.51,22.58,7-24,31,4
Bag End Porter (Copy 1),43.5,38.21,47-76,123,12
Rot Farm Mortipede (Copy 1),43.49,39.64,67-102,169,14
Galadhrim Bow (Copy 1),43.49,39.64,67-102,169,16
Agent Maria Hill (Copy 1),43.48,42.52,287-388,675,43
Transmutation Font (Copy 1),43.44,13.64,3-19,22,2
Nobody (Copy 1),43.42,39.78,72-109,181,21
Swarming of Moria (Copy 1),43.42,39.78,72-109,181,16
Doom Reigns Supreme (Copy 1),43.42,41.25,125-178,303,21
Gold Rush (Copy 1),43.41,20.69,6-23,29,4
"Morlun, Devourer of Spiders (Copy 1)",43.41,20.69,6-23,29,6
"Luke Cage, Power Man (Copy 1)",43.39,42.41,285-387,672,47
Savage Mansion (Copy 1),43.36,39.1,61-95,156,17
Servant of the Stinger (Copy 1),43.35,34.25,25-48,73,10
Frozen in Ice (Copy 2),43.35,42.04,214-295,509,39
"Hei Bai, Spirit of Balance (Copy 1)",43.33,37.27,41-69,110,10
Heroic Intervention (Copy 1),43.33,37.27,41-69,110,8
Platypus-Bear (Copy 1),43.32,39.55,70-107,177,16
Widow's Bite (Copy 1),43.31,42.86,627-836,1463,94
Blazing Crescendo (Copy 3),43.31,31.58,18-39,57,7
Second Breakfast (Copy 1),43.3,39.13,63-98,161,16
Projektor Inspector (Copy 1),43.28,38.41,53-85,138,9
Pretending Poxbearers (Copy 1),43.28,38.41,53-85,138,14
Masked Meower (Copy 1),43.28,36.63,37-64,101,12
The Masters of Evil (Copy 2),43.24,37.7,46-76,122,11
Plains (Copy 2),43.19,42.57,464-626,1090,94
Fatal Fissure (Copy 1),43.18,34.21,26-50,76,5
Sparring Dummy (Copy 1),43.15,28.26,13-33,46,5
Machinesmith Automaton (Copy 1),43.15,42.7,655-879,1534,95
"Misty Knight, Hero for Hire (Copy 1)",43.15,41.99,249-344,593,41
"Elektra, Daughter of the Hand (Copy 2)",43.15,28.26,13-33,46,4
"Iron Man, Master of Machines (Copy 1)",43.14,42.11,280-385,665,47
Kraven's Cats (Copy 1),43.14,39.7,79-120,199,18
"Flopsie, Bumi's Buddy (Copy 1)",43.14,36.54,38-66,104,10
Highway Robbery (Copy 1),43.14,38.71,60-95,155,14
Seismic Sense (Copy 1),43.12,31.67,19-41,60,6
Political Triumph (Copy 1),43.11,42.11,288-396,684,45
Dunland Crebain (Copy 1),43.1,40.39,103-152,255,20
"Arnim Zola, Bio-Fanatic (Copy 2)",43.07,24.32,9-28,37,4
Watery Grasp (Copy 1),43.06,39.36,74-114,188,17
Wrench (Copy 1),43.06,27.27,12-32,44,5
"Storm, Windrider (Copy 1)",43.05,40.45,108-159,267,20
Baxter Building (Copy 1),43.03,42.09,314-432,746,52
Haunt of the Dead Marshes (Copy 1),43.03,40.08,95-142,237,21
Hex Magic (Copy 1),43.02,41.99,283-391,674,47
"Shadowfax, Lord of Horses (Copy 1)",43.02,34.18,27-52,79,7
Insidious Roots (Copy 1),43.0,36.45,39-68,107,9
"Gimli, Counter of Kills (Copy 1)",43.0,36.45,39-68,107,8
I Am Iron Man (Copy 1),42.99,42.54,667-901,1568,101
Long Goodbye (Copy 1),42.99,36.84,42-72,114,10
Friendly Neighborhood (Copy 1),42.97,17.86,5-23,28,5
"Shelob, Child of Ungoliant (Copy 1)",42.97,17.86,5-23,28,3
Brave Brawler (Copy 3),42.96,26.19,11-31,42,4
"Fear, Fire, Foes! (Copy 1)",42.93,34.52,29-55,84,7
"Leonardo, Big Brother (Copy 1)",42.91,38.31,59-95,154,18
Island (Copy 3),42.9,39.73,89-135,224,28
Rowdy Snowballers (Copy 1),42.9,39.73,89-135,224,20
Repulsor Blast (Copy 2),42.88,41.61,233-327,560,39
Gleaming Bastion (Copy 1),42.88,41.36,194-275,469,31
East-Mark Cavalier (Copy 1),42.86,38.16,58-94,152,14
Bumi Bash (Copy 2),42.86,5.26,1-18,19,3
Kraven's Cats (Copy 2),42.86,15.38,4-22,26,4
Earth Village Ruffians (Copy 1),42.8,38.0,57-93,150,13
"Starling, Aerial Ally (Copy 1)",42.79,37.21,48-81,129,11
Punishing Punch (Copy 2),42.77,30.51,18-41,59,6
Banish from Edoras (Copy 1),42.76,38.95,74-116,190,15
The Chase Is On (Copy 1),42.75,38.64,68-108,176,15
"Aragorn, Company Leader (Copy 1)",42.75,23.68,9-29,38,4
The Torment of Gollum (Copy 2),42.74,0.0,0-17,17,2
Romantic Rendezvous (Copy 1),42.73,39.75,97-147,244,21
Knight of Wundagore (Copy 2),42.73,40.59,138-202,340,25
Spider-Islanders (Copy 1),42.72,39.35,85-131,216,20
Volcanic Villain (Copy 2),42.7,40.62,143-209,352,27
Los Diablos Missile Base (Copy 1),42.69,41.95,414-573,987,65
Kyoshi Island Plaza (Copy 1),42.68,29.82,17-40,57,6
H.E.R.B.I.E. Scout Unit (Copy 3),42.68,29.82,17-40,57,6
Avengers Assemble! (Copy 1),42.67,37.12,49-83,132,10
Invasion Submersible (Copy 1),42.67,28.0,14-36,50,5
"Crossbones, Malicious Mercenary (Copy 2)",42.67,28.0,14-36,50,4
Gollum's Bite (Copy 1),42.66,25.58,11-32,43,5
Secret Tunnel (Copy 1),42.66,25.58,11-32,43,4
Crustacean Commando (Copy 1),42.65,35.58,37-67,104,14
Spider-Man Noir (Copy 1),42.64,35.05,34-63,97,10
"Strider, Ranger of the North (Copy 1)",42.6,31.88,22-47,69,7
Cirith Ungol Patrol (Copy 1),42.59,38.04,62-101,163,14
"Doc Samson, Super Psychiatrist (Copy 1)",42.58,41.45,274-387,661,46
Widow's Bite (Copy 2),42.58,40.25,128-190,318,28
Los Diablos Missile Base (Copy 2),42.57,38.78,76-120,196,17
Lost Days (Copy 1),42.56,37.32,53-89,142,18
Hobbit's Sting (Copy 1),42.56,37.32,53-89,142,14
We Say Thee Nay! (Copy 3),42.53,32.43,24-50,74,7
Forest (Copy 2),42.52,41.68,368-515,883,81
Subway Train (Copy 1),42.52,38.81,78-123,201,19
Shire Terrace (Copy 1),42.51,37.41,55-92,147,14
Earthbending Lesson (Copy 1),42.48,37.95,63-103,166,15
"Arnim Zola, Bio-Fanatic (Copy 1)",42.47,41.47,311-439,750,56
Worlds Within Worlds (Copy 1),42.46,39.53,102-156,258,17
Take Up the Shield (Copy 2),42.45,40.79,186-270,456,38
Sanctuary Wall (Copy 1),42.45,35.71,40-72,112,9
Misty Palms Oasis (Copy 1),42.44,31.94,23-49,72,8
Beast Within (Copy 1),42.42,18.75,6-26,32,3
Mordor Trebuchet (Copy 1),42.42,38.58,76-121,197,18
Wild Pack Squad (Copy 1),42.38,39.46,103-158,261,25
Too Evil to Stay Dead (Copy 1),42.34,41.1,254-364,618,42
"Landroval, Horizon Witness (Copy 1)",42.31,16.67,5-25,30,6
Construct a Cosmic Cube (Copy 1),42.3,40.31,156-231,387,28
Thirst for Knowledge (Copy 1),42.28,40.98,243-350,593,44
Abandoned Air Temple (Copy 1),42.28,8.7,2-21,23,3
Savage Land Dinosaur (Copy 3),42.26,30.88,21-47,68,6
Serpent of the Pass (Copy 1),42.26,30.88,21-47,68,11
Aerial Doombot (Copy 2),42.22,40.0,140-210,350,26
Magnifying Glass (Copy 1),42.21,34.34,34-65,99,11
"Iron Man, Master of Machines (Copy 2)",42.18,25.53,12-35,47,4
Borough Backup (Copy 2),42.18,39.15,101-157,258,27
Lively Dirge (Copy 1),42.18,25.53,12-35,47,5
Westfold Rider (Copy 1),42.13,37.01,57-97,154,15
Air Nomad Legacy (Copy 1),42.08,32.53,27-56,83,11
Torch the Witness (Copy 1),42.08,34.31,35-67,102,9
Heroic Feast (Copy 2),42.07,24.44,11-34,45,4
The Astonishing Ant-Man (Copy 1),42.06,39.0,101-158,259,19
Hard-Hitting Question (Copy 1),42.06,11.54,3-23,26,3
Oath of the Grey Host (Copy 1),42.04,28.07,16-41,57,7
Geyser Leaper (Copy 1),42.04,36.55,53-92,145,14
Cease // Desist (Copy 1),42.03,21.05,8-30,38,5
Zuko's Conviction (Copy 1),41.95,31.08,23-51,74,8
Leaves from the Vine (Copy 1),41.94,27.27,15-40,55,6
Stolen Stark Tech (Copy 2),41.91,40.13,183-273,456,39
"Thanos, the Mad Titan (Copy 1)",41.9,34.55,38-72,110,9
Namor the Sub-Mariner (Copy 1),41.89,36.97,61-104,165,10
Stalwarts of Osgiliath (Copy 1),41.88,37.29,66-111,177,18
Futurist Forge (Copy 2),41.87,39.54,138-211,349,31
Hithlain Knots (Copy 1),41.87,37.57,71-118,189,16
Bitter Work (Copy 1),41.85,32.14,27-57,84,8
K'un-Lun Warrior (Copy 2),41.79,39.96,179-269,448,36
Serpent Specialist (Copy 3),41.76,30.0,21-49,70,7
Goblin Fireleaper (Copy 1),41.76,30.0,21-49,70,6
Ambush Gigapede (Copy 1),41.74,35.38,46-84,130,11
Raven Eagle (Copy 1),41.73,11.11,3-24,27,4
Foggy Swamp Vinebender (Copy 1),41.73,36.36,56-98,154,15
Novel Nunchaku (Copy 1),41.73,20.51,8-31,39,7
Fire Nation Raider (Copy 1),41.72,37.37,71-119,190,17
"Meneldor, Swift Savior (Copy 1)",41.72,25.49,13-38,51,5
"Grond, the Gatebreaker (Copy 1)",41.71,32.18,28-59,87,8
Oliphaunt (Copy 1),41.7,37.16,68-115,183,21
Moon Girl and Devil Dinosaur (Copy 1),41.68,39.87,183-276,459,31
Troll of Khazad-dûm (Copy 1),41.67,38.14,90-146,236,18
The Mouth of Sauron (Copy 1),41.61,24.49,12-37,49,5
Cactarantula (Copy 1),41.6,35.51,49-89,138,12
Combustion Technique (Copy 1),41.58,33.33,34-68,102,11
Kree Commandos (Copy 2),41.57,38.94,125-196,321,26
Forest (Copy 4),41.56,25.93,14-40,54,9
Avengers: Under Siege (Copy 1),41.55,37.24,73-123,196,16
Tenderize (Copy 1),41.55,36.96,68-116,184,16
Merchant of Many Hats (Copy 1),41.55,33.64,36-71,107,11
Deceive the Messenger (Copy 1),41.53,35.81,53-95,148,14
"Tigra, Feline Fury (Copy 1)",41.52,40.19,256-381,637,46
Reprieve (Copy 1),41.51,27.12,16-43,59,7
Depower (Copy 2),41.49,39.48,167-256,423,34
Spider-Man No More (Copy 1),41.44,36.2,59-104,163,16
Thwip! (Copy 1),41.4,37.38,80-134,214,20
Rapid Rescue (Copy 3),41.4,26.32,15-42,57,6
Kyoshi Warriors (Copy 1),41.32,36.7,69-119,188,18
"Shriek, Treblemaker (Copy 1)",41.3,18.42,7-31,38,6
Heroic Feast (Copy 1),41.29,38.41,116-186,302,19
Fire Navy Trebuchet (Copy 1),41.25,26.67,16-44,60,8
The Black Breath (Copy 1),41.22,36.73,72-124,196,17
Earthen Ally (Copy 1),41.18,24.53,13-40,53,5
S.H.I.E.L.D. Deployment Drone (Copy 2),41.18,39.02,160-250,410,32
Expose the Culprit (Copy 1),41.18,24.53,13-40,53,7
Crashing Wave (Copy 1),41.18,34.78,48-90,138,15
Iguana Parrot (Copy 1),41.15,35.62,57-103,160,18
Pelargir Survivor (Copy 1),41.09,32.35,33-69,102,12
Jeong Jeong's Deserters (Copy 1),41.03,36.79,78-134,212,21
Benthic Criminologists (Copy 1),41.0,34.53,48-91,139,16
Super Intelligence (Copy 2),40.98,30.12,25-58,83,6
Marketwatch Phantom (Copy 1),40.97,33.86,43-84,127,13
The Grey Havens (Copy 1),40.96,30.68,27-61,88,8
"Abomination, Terrifying Titan (Copy 1)",40.94,39.32,219-338,557,40
"Lilah, Undefeated Slickshot (Copy 1)",40.94,7.41,2-25,27,3
City Pigeon (Copy 1),40.89,34.69,51-96,147,16
Bewitching Leechcraft (Copy 1),40.87,34.87,53-99,152,14
Dúnedain Blade (Copy 1),40.77,35.0,56-104,160,14
"Ray Fillet, Man Ray (Copy 1)",40.69,20.0,9-36,45,5
Ithilien Kingfisher (Copy 1),40.66,34.04,48-93,141,15
Unliving Legionnaire (Copy 2),40.66,38.24,148-239,387,34
Photon Blast Barrage (Copy 1),40.64,39.05,230-359,589,43
Messenger Hawk (Copy 1),40.64,32.77,39-80,119,14
Mithril Coat (Copy 1),40.62,7.14,2-26,28,3
Gandalf the White (Copy 1),40.6,12.12,4-29,33,4
The Coming of Galactus (Copy 1),40.58,31.78,34-73,107,8
"Wonder Man, Hollywood Hero (Copy 1)",40.55,39.27,291-450,741,51
Zuko's Exile (Copy 1),40.52,34.91,59-110,169,18
Revive the Shire (Copy 1),40.52,35.92,74-132,206,19
Tiger-Dillo (Copy 1),40.52,22.64,12-41,53,5
The Ten Rings (Copy 1),40.47,32.17,37-78,115,9
Hawkeye's Bow (Copy 2),40.46,36.59,90-156,246,24
Ranger's Firebrand (Copy 1),40.32,29.07,25-61,86,8
Brandywine Farmer (Copy 1),40.27,32.23,39-82,121,12
Gimli's Axe (Copy 1),40.21,35.08,67-124,191,16
"Lo and Li, Twin Tutors (Copy 1)",40.21,29.21,26-63,89,11
Alien Symbiosis (Copy 1),40.21,29.21,26-63,89,8
Vibranium Energy Daggers (Copy 2),40.15,36.98,115-196,311,24
"Sokka, Bold Boomeranger (Copy 1)",40.15,13.51,5-32,37,5
Unstable Experiment (Copy 1),40.08,33.1,47-95,142,17
Merciless Enforcers (Copy 1),40.0,36.08,92-163,255,27
Interdimensional Web Watch (Copy 1),40.0,6.67,2-28,30,5
Mob Lookout (Copy 1),39.95,36.33,101-177,278,27
White Lotus Reinforcements (Copy 1),39.89,27.71,23-60,83,10
Venomized Cat (Copy 1),39.8,34.67,69-130,199,21
"King T'Challa // Black Panther, Hope Enduring (Copy 1)",39.68,28.09,25-64,89,7
Beetle-Headed Merchants (Copy 1),39.53,35.25,86-158,244,26
Captain of Umbar (Copy 1),39.5,29.0,29-71,100,10
Alley Assailant (Copy 1),39.48,31.58,42-91,133,13
Bumi Bash (Copy 1),39.46,34.02,66-128,194,20
Cunning Maneuver (Copy 1),39.32,35.06,88-163,251,21
"Killmonger, Scourge of Wakanda (Copy 1)",39.28,37.48,223-372,595,49
Haradrim Spearmaster (Copy 1),39.18,32.74,55-113,168,16
Powerful Broker (Copy 2),39.1,36.14,133-235,368,29
Forest (Copy 3),38.98,31.82,49-105,154,23
Rally at the Hornburg (Copy 1),38.97,32.56,56-116,172,16
Call of the Ring (Copy 1),38.85,19.3,11-46,57,6
"Donatello, Way with Machines (Copy 1)",38.73,23.29,17-56,73,8
"Joo Dee, One of Many (Copy 1)",38.51,22.97,17-57,74,8
"Katara, Water Tribe's Hope (Copy 1)",38.46,11.63,5-38,43,5
Generous Ent (Copy 1),38.26,32.7,69-142,211,17
Gathering Place (Copy 1),38.1,34.6,118-223,341,24
Gimli's Fury (Copy 1),37.9,27.73,33-86,119,11
Rise of the Witch-king (Copy 1),37.84,23.53,20-65,85,9
Boar-q-pine (Copy 1),37.55,30.51,54-123,177,20
Primordial Pachyderm (Copy 1),37.5,27.42,34-90,124,14
Spider-Suit (Copy 1),37.14,5.0,2-38,40,5
Undercover Crocodelf (Copy 1),37.0,26.77,34-93,127,16
Solstice Revelations (Copy 1),36.46,19.75,16-65,81,8
Elven Farsight (Copy 1),36.29,27.67,44-115,159,15
"Éowyn, Lady of Rohan (Copy 1)",35.75,17.72,14-65,79,7
Rocky Rebuke (Copy 1),35.49,27.98,54-139,193,19
